1	2026-07-09T21:47:01Z	35	000	99
2	2026-07-09T21:47:11Z	35	000	99
3	2026-07-09T21:47:21Z	35	000	99
4	2026-07-09T21:47:31Z	35	000	99
5	2026-07-09T21:47:41Z	35	000	99
6	2026-07-09T21:47:51Z	35	000	99
7	2026-07-09T21:48:01Z	35	000	99
8	2026-07-09T21:48:11Z	35	000	99
9	2026-07-09T21:48:21Z	35	000	99
10	2026-07-09T21:48:32Z	35	000	99
11	2026-07-09T21:48:42Z	0	200	1
12	2026-07-09T21:48:52Z	0	200	1
13	2026-07-09T21:49:02Z	0	200	1
14	2026-07-09T21:49:12Z	0	200	1
15	2026-07-09T21:49:22Z	0	200	1
16	2026-07-09T21:49:32Z	0	200	1
17	2026-07-09T21:49:42Z	0	200	1
18	2026-07-09T21:49:53Z	0	200	1
